Column3;Column4;Column5;Column6;Column7;Column8
 -1.392511446933976E+07; -1.948008662269173E+08;  3.859579846025854E+05;  2.409359199239308E+01;  1.488078329308698E+01; -7.618636637556149E-01
 -1.391788658294317E+07; -1.947964018646543E+08;  3.857294252472371E+05;  2.409231731281689E+01;  1.488163177843755E+01; -7.618653716046930E-01
 -1.391065907895562E+07; -1.947919372478593E+08;  3.855008653797358E+05;  2.409104259844954E+01;  1.488248017292047E+01; -7.618670783387547E-01
 -1.390343195738757E+07; -1.947874723765596E+08;  3.852723050003648E+05;  2.408976784929663E+01;  1.488332847654163E+01; -7.618687839566469E-01
 -1.389620521824950E+07; -1.947830072507825E+08;  3.850437441094816E+05;  2.408849306536314E+01;  1.488417668930703E+01; -7.618704884568954E-01
 -1.388897886155182E+07; -1.947785418705551E+08;  3.848151827073842E+05;  2.408721824665344E+01;  1.488502481122256E+01; -7.618721918377318E-01
 -1.388175288730499E+07; -1.947740762359048E+08;  3.845866207944900E+05;  2.408594339317129E+01;  1.488587284229403E+01; -7.618738940971044E-01
 -1.387452729551935E+07; -1.947696103468588E+08;  3.843580583710521E+05;  2.408466850491988E+01;  1.488672078252705E+01; -7.618755952326692E-01
 -1.386730208620551E+07; -1.947651442034444E+08;  3.841294954374433E+05;  2.408339358190183E+01;  1.488756863192704E+01; -7.618772952418249E-01
 -1.386007725937372E+07; -1.947606778056887E+08;  3.839009319940060E+05;  2.408211862411920E+01;  1.488841639049906E+01; -7.618789941216768E-01
 -1.385285281503451E+07; -1.947562111536192E+08;  3.836723680410981E+05;  2.408084363157349E+01;  1.488926405824789E+01; -7.618806918691172E-01
 -1.384562875319827E+07; -1.947517442472629E+08;  3.834438035790175E+05;  2.407956860426573E+01;  1.489011163517787E+01; -7.618823884807826E-01
 -1.383840507387543E+07; -1.947472770866471E+08;  3.832152386081070E+05;  2.407829354219641E+01;  1.489095912129291E+01; -7.618840839530838E-01
